Last raw reading: 255	Time since start: 2700033microseconds
Last raw reading: 90	Time since start: 2705032microseconds
Last raw reading: 28	Time since start: 2710033microseconds
Last raw reading: 386	Time since start: 2715033microseconds
Last raw reading: 527	Time since start: 2720033microseconds
Last raw reading: 174	Time since start: 2725033microseconds
Last raw reading: 165	Time since start: 2730033microseconds
Last raw reading: 167	Time since start: 2735033microseconds
Last raw reading: 187	Time since start: 2740033microseconds
Last raw reading: 173	Time since start: 2745033microseconds
Last raw reading: 50	Time since start: 2750033microseconds
Last raw reading: 72	Time since start: 2755033microseconds
Last raw reading: 266	Time since start: 2760033microseconds
Last raw reading: 74	Time since start: 2765033microseconds
Last raw reading: 208	Time since start: 2770033microseconds
Last raw reading: 506	Time since start: 2775033microseconds
Last raw reading: 317	Time since start: 2780033microseconds
Last raw reading: 90	Time since start: 2785033microseconds
Last raw reading: 76	Time since start: 2790033microseconds
Last raw reading: 49	Time since start: 2795033microseconds
Last raw reading: 35	Time since start: 2800033microseconds
Last raw reading: 168	Time since start: 2805033microseconds
Last raw reading: 357	Time since start: 2810033microseconds
Last raw reading: 109	Time since start: 2815033microseconds
Last raw reading: 34	Time since start: 2820033microseconds
Last raw reading: 169	Time since start: 2825033microseconds
Last raw reading: 380	Time since start: 2830033microseconds
Last raw reading: 362	Time since start: 2835033microseconds
Last raw reading: 107	Time since start: 2840033microseconds
Last raw reading: 270	Time since start: 2845033microseconds
Last raw reading: 142	Time since start: 2850033microseconds
Last raw reading: 43	Time since start: 2855033microseconds
Last raw reading: 16	Time since start: 2860033microseconds
Last raw reading: 520	Time since start: 2865034microseconds
Last raw reading: 659	Time since start: 2870034microseconds
Last raw reading: 350	Time since start: 2875034microseconds
Last raw reading: 254	Time since start: 2880034microseconds
Last raw reading: 181	Time since start: 2885034microseconds
Last raw reading: 130	Time since start: 2890034microseconds
Last raw reading: 383	Time since start: 2895034microseconds
Last raw reading: 378	Time since start: 2900034microseconds
Last raw reading: 330	Time since start: 2905034microseconds
